S.No,InvoiceNo,Date,Country,ProductID,Shop,Gender,Size (US),UnitPrice,Discount,SalePrice
1,52389,41640.04611,United Kingdom,2152,UK2,Male,11,159,0,159
2,52390,41640.15611,United States,2230,US15,Male,11.5,199,0.2,159.2
3,52391,41640.37611,Canada,2160,CAN7,Male,9.5,149,0.2,119.2
4,52392,41640.38611,United States,2234,US6,Female,9.5,159,0,159
5,52393,41640.56611,United Kingdom,2222,UK4,Female,9,159,0,159
6,52394,41640.66611,United States,2173,US15,Male,10.5,159,0,159
7,52395,41641.04611,Germany,2200,GER2,Female,9,179,0,179
8,52396,41641.37611,Canada,2238,CAN5,Male,10,169,0,169
9,52397,41641.38611,United States,2191,US13,Male,10.5,139,0,139
10,52398,41641.56611,United Kingdom,2237,UK1,Female,9,149,0,149
11,52399,41641.59611,United States,2197,US1,Male,10,129,0,129
12,52399,41641.59611,United States,2213,US11,Female,9.5,169,0.1,152.1
13,52399,41641.59611,United States,2206,US2,Female,9.5,139,0,139
14,52400,41641.66611,United States,2152,US15,Male,8,139,0,139
15,52401,41642.10611,Germany,2235,GER1,Male,10.5,169,0.5,84.5
16,52401,41642.10611,Germany,2197,GER1,Female,8.5,179,0.2,143.2
17,52402,41642.37611,Canada,2240,CAN6,Male,9.5,199,0.3,139.3
18,52403,41642.38611,United States,2221,US7,Male,11,149,0.5,74.5
19,52404,41642.59611,United States,2234,US6,Female,9.5,159,0,159
20,52404,41642.59611,United States,2197,US1,Male,10,129,0,129
21,52404,41642.59611,United States,2213,US11,Female,9.5,169,0.1,152.1
22,52405,41642.62611,United States,2213,US7,Female,8,139,0,139
23,52406,41642.66611,United States,2147,US15,Male,9.5,139,0,139
24,52407,41643.10611,United States,2224,US13,Male,9,149,0.1,134.1
25,52408,41643.10611,Germany,2206,GER2,Male,8.5,149,0.2,119.2
26,52409,41643.21611,Germany,2157,GER2,Male,12,149,0.2,119.2
27,52410,41643.21611,Canada,2169,CAN3,Female,8,129,0,129
28,52411,41643.59611,United States,2191,US13,Male,10.5,139,0,139
29,52411,41643.59611,United States,2234,US6,Female,9.5,159,0,159
30,52411,41643.59611,United States,2197,US1,Male,10,129,0,129
31,52412,41643.62611,United States,2173,US15,Male,10.5,159,0,159
32,52413,41644.03611,United Kingdom,2156,UK5,Female,8,169,0.1,152.1
33,52414,41644.10611,Germany,2235,GER1,Male,9.5,169,0.3,118.3
34,52414,41644.10611,Germany,2239,GER2,Female,8.5,129,0.5,64.5
35,52415,41644.21611,Canada,2169,CAN3,Female,8,129,0,129
36,52416,41644.21611,Germany,2235,GER1,Male,10.5,169,0.5,84.5
37,52417,41644.40611,United States,2154,US15,Male,11,189,0,189
38,52418,41644.62611,United States,2152,US15,Male,8,139,0,139
39,52419,41645.03611,Canada,2154,CAN3,Male,10.5,179,0,179
40,52420,41645.03611,Germany,2154,GER1,Male,10,199,0,199
41,52421,41645.21611,Germany,2206,GER2,Male,8.5,149,0.2,119.2
42,52421,41645.21611,Germany,2235,GER1,Male,10.5,169,0.5,84.5
43,52422,41645.40611,United States,2213,US7,Female,8,139,0,139
44,52423,41645.41611,United States,2225,US15,Male,10,199,0.3,139.3
45,52424,41645.61611,Canada,2150,CAN2,Female,9,139,0.2,111.2
46,52425,41646.03611,Canada,2160,CAN7,Male,9.5,149,0.2,119.2
47,52426,41646.03611,United Kingdom,2167,UK2,Female,8,199,0,199
48,52427,41646.40611,Germany,2242,GER2,Female,7,189,0.1,170.1
49,52428,41646.40611,United States,2173,US15,Male,10.5,159,0,159
50,52429,41646.41611,Germany,2239,GER1,Female,9.5,159,0.5,79.5
51,52430,41646.61611,United Kingdom,2168,UK1,Male,10,159,0.1,143.1
52,52431,41646.90611,United States,2204,US13,Male,9.5,129,0.1,116.1
53,52432,41647.03611,Canada,2238,CAN5,Male,10,169,0,169
54,52433,41647.40611,Canada,2154,CAN3,Male,10.5,179,0,179
55,52434,41647.41611,Germany,2238,GER2,Female,9.5,189,0,189
56,52435,41647.61611,United Kingdom,2229,UK4,Male,7,169,0,169
57,52436,41647.75611,Germany,2225,GER2,Male,9.5,179,0.1,161.1
58,52437,41647.90611,United States,2207,US13,Male,12,169,0,169
59,52438,41648.20611,United States,2168,US15,Male,11,139,0.1,125.1
60,52439,41648.40611,Canada,2160,CAN7,Male,9.5,149,0.2,119.2
61,52440,41648.75611,Germany,2195,GER2,Male,9,189,0,189
62,52441,41648.90611,United States,2191,US15,Female,8.5,189,0.5,94.5
63,52442,41648.99611,Canada,2217,CAN3,Female,9,149,0,149
64,52443,41649.20611,United States,2195,US7,Female,8,129,0.1,116.1
65,52444,41649.75611,Germany,2157,GER2,Male,12,149,0.2,119.2
66,52445,41649.79611,United States,2176,US5,Female,8,129,0,129
67,52446,41649.79611,Germany,2185,GER1,Male,8,179,0,179
68,52447,41649.95611,Canada,2213,CAN6,Female,8,139,0,139
69,52448,41649.99611,Canada,2150,CAN2,Female,9,139,0.2,111.2
70,52449,41650.20611,United States,2154,US15,Male,11,189,0,189
71,52450,41650.79611,United States,2230,US15,Female,8,129,0,129
72,52450,41650.79611,United States,2207,US1,Female,8,199,0.1,179.1
73,52451,41650.95611,United Kingdom,2167,UK2,Female,8.5,149,0,149
74,52452,41650.95611,Germany,2225,GER2,Male,9.5,179,0.1,161.1
75,52453,41650.99611,United Kingdom,2168,UK1,Male,10,159,0.1,143.1
76,52454,41651.79611,United States,2159,US15,Female,8,179,0.5,89.5
77,52454,41651.79611,United States,2168,US15,Male,11,139,0.1,125.1
78,52455,41651.83611,Canada,2204,CAN1,Male,9,199,0,199
79,52456,41651.95611,United States,2206,US12,Male,10,149,0.3,104.3
80,52457,41651.95611,Germany,2195,GER2,Male,9,189,0,189
81,52458,41652.32611,United States,2231,US9,Female,7.5,169,0.1,152.1
82,52459,41652.45611,Canada,2172,CAN6,Female,8,149,0.2,119.2
83,52460,41652.83611,Canada,2226,CAN6,Male,12,129,0.2,103.2
84,52461,41652.95611,United States,2232,US4,Female,7.5,169,0,169
85,52461,41652.95611,United States,2230,US14,Female,9,179,0,179
86,52461,41652.95611,United States,2169,US3,Female,10,169,0.3,118.3
87,52462,41652.95611,United Kingdom,2182,UK3,Female,8.5,129,0,129
88,52463,41653.32611,Germany,2191,GER3,Male,10,149,0,149
89,52464,41653.45611,Canada,2213,CAN6,Female,8,139,0,139
